Nombre,Coordenadas
Ademuz,"40.0750612319406,-1.2234098552"
Ador,"38.9333957743436,-0.2458111831"
Agullent,"38.8423077903515,-0.5532777310"
Aielo-de-Malferit,"38.8867045449057,-0.6015268780"
Aielo-de-Rugat,"38.880984747761,-0.34485308315"
Alaquas,"39.4563421919474,-0.4609107971"
Albaida,"38.853984813475,-0.52591297732"
Albal,"39.3917339552034,-0.4073643189"
Albalat-de-la-Ribera,"39.2184835926986,-0.3738811106"
Albalat-dels-Sorells,"39.5459869546034,-0.3406259630"
Albalat-dels-Tarongers,"39.6828820828349,-0.3558499871"
Alberic,"39.1187931934469,-0.5186253222"
Alborache,"39.3822012598204,-0.7565571727"
Alboraya,"39.5045293512052,-0.3380163501"
Albuixech,"39.5441492155589,-0.3217307842"
Alcantera-de-Xuquer,"39.0659424640052,-0.5555060036"
Alcasser,"39.3779782184498,-0.4471027584"
Alcublas,"39.8062934441634,-0.6891239483"
Alcudia-de-Crespins-I,"38.9726372293343,-0.6021868490"
Alcudia-I,"39.1838648383257,-0.5126805915"
Aldaia,"39.4646917930316,-0.4616832733"
Alfafar,"39.4097187632624,-0.3689823355"
Alfara-de-Algimia,"39.771525253897,-0.35224129969"
Alfara-del-Patriarca,"39.5397328653828,-0.3798968305"
Alfarp,"39.2835405270286,-0.5315385546"
Alfarrasi,"38.9087888173555,-0.4999022611"
Alfauir,"38.9335795444338,-0.2438445790"
Algar-de-Palancia,"39.470239,-0.376805"
Algemesi,"39.213462233716,-0.41664428722"
Algimia-de-Alfara,"39.7439609585395,-0.3923328151"
Alginet,"39.263926193039,-0.46973104490"
Almassera,"39.5153185611682,-0.3486956867"
Almisera,"38.9247271775938,-0.2792652638"
Almoines,"38.9475668589941,-0.1788088166"
Almussafes,"39.2973435083364,-0.4094723934"
Alpuente,"39.9245044146014,-1.0327250211"
Alqueria-de-la-Comtessa-I,"38.9374755983821,-0.1530001446"
Alzira,"39.1388436065354,-0.5051008044"
Andilla,"39.8286235599047,-0.7916824592"
Anna,"39.0115783307918,-0.6413879682"
Antella,"39.0861110999117,-0.6044561093"
Aras-de-los-Olmos,"39.9376684843393,-1.1600598958"
Atzeneta-dAlbaida,"38.8335680421807,-0.4875771414"
Ayora,"39.032577889834,-0.99505991207"
Barx,"39.0115990784541,-0.3117420647"
Barxeta,"39.0153970494727,-0.4278125270"
Belgida,"38.8671789599969,-0.4603576495"
Bellreguard,"38.9533113241996,-0.1519614923"
Bellus,"38.9473359780498,-0.4966288383"
Benageber,"39.7274025726661,-1.1276271589"
Benaguasil,"39.5892088603428,-0.6128554018"
Benavites,"39.7354928078959,-0.2368927329"
Beneixida,"39.0693383411326,-0.5481853695"
Benetusser,"39.4227843400463,-0.3961412388"
Beniarjo,"38.9354452537462,-0.1901092172"
Beniatjar,"38.8617946136091,-0.4234276951"
Benicolet,"38.9166811788034,-0.3379855479"
Benicull-de-Xuquer,"39.470239,-0.376805"
Benifaio,"39.2888576361729,-0.4407175644"
Benifairo-de-la-Valldigna,"39.0602513509347,-0.3026325220"
Benifairo-de-les-Valls,"39.7243219392576,-0.2713471023"
Benifla,"38.927872701879,-0.19040772722"
Beniganim,"38.9535701311051,-0.4453524138"
Benimodo,"39.1686747505189,-0.5398699474"
Benimuslem,"39.1360301726852,-0.4893685694"
Beniparrell,"39.3831727503456,-0.4118583714"
Benirredra,"38.9624123680951,-0.1935982280"
Benisano,"39.6150445092525,-0.5760465780"
Benissoda,"38.8286475549556,-0.5282483514"
Benisuera,"38.9099026499805,-0.4801907884"
Betera,"39.5853012285039,-0.4744285068"
Bicorp,"39.1099152605724,-0.8374464855"
Bocairent,"38.7392094016181,-0.6060218070"
Bolbaite,"39.0533977383296,-0.7610798717"
Bonrepos-I-Mirambell,"39.5220380707025,-0.3660197486"
Bufali,"38.8655765325594,-0.5010880311"
Bugarra,"39.6170825936858,-0.7750137219"
Bunol,"39.4240213699538,-0.8690750702"
Burjassot,"39.5061311592069,-0.4054554345"
Calles,"39.7272196101632,-0.9765694877"
Camporrobles,"39.6217917491947,-1.3717535986"
Canals,"38.9693900815613,-0.5853916202"
Canet-dEn-Berenguer,"39.6821543574823,-0.2166803453"
Carcaixent,"39.1089936566994,-0.4555135820"
Carcer,"39.0628894540734,-0.5721517612"
Carlet,"39.2329533692492,-0.5241572179"
Carricola,"38.8439566577276,-0.4702807604"
Casas-Altas,"40.0313813579892,-1.2554479397"
Casas-Bajas,"40.0193955925816,-1.2677728209"
Casinos,"39.695261964535,-0.73946386067"
Castello-de-la-Ribera,"39.0766845985742,-0.5180293945"
Castello-de-Rugat,"38.8791027968826,-0.3849666848"
Castellonet-de-la-Conquesta,"38.9085105035964,-0.2640060996"
Castielfabib,"40.1396103874605,-1.3151552387"
Catadau,"39.264785513064,-0.57862430021"
Catarroja,"39.3992596512929,-0.3996834076"
Caudete-de-las-Fuentes,"39.5511166327632,-1.2927533927"
Cerda,"38.9874867195366,-0.5930405363"
Chella,"39.0462043177737,-0.6948710088"
Chelva,"39.7338964060193,-1.0230493528"
Chera,"39.5804946926526,-0.9354665160"
Cheste,"39.5187235829159,-0.7050839009"
Chiva,"39.4836127093049,-0.7342299202"
Chulilla,"39.6513494106721,-0.8500479524"
Cofrentes,"39.2619929140156,-1.0944664869"
Corbera,"39.1601129832952,-0.3447137897"
Cortes-de-Pallas,"39.2441087542914,-0.9061916507"
Cotes,"39.0646879049349,-0.5863856497"
Cullera,"39.1645806513302,-0.2493915360"
Daimus,"38.9720607263248,-0.1508056438"
